Age,Salary,City,Experience,Department,Married
56.0,113806.0,Nagpur,3.0,Sales,True
46.0,21910.0,Pune,12.0,Finance,True
32.0,105982.0,Pune,19.0,IT,False
25.0,15206.0,Mumbai,0.0,HR,True
38.0,102054.0,Pune,7.0,IT,False
56.0,,Delhi,13.0,HR,False
,38419.0,Nagpur,,Sales,True
40.0,65636.0,Pune,13.0,HR,True
,65015.0,Pune,11.0,Finance,False
28.0,69268.0,Mumbai,18.0,Finance,False
41.0,,Mumbai,14.0,HR,True
53.0,33141.0,Delhi,1.0,HR,True
57.0,95356.0,Nagpur,1.0,HR,True
41.0,86910.0,Mumbai,18.0,HR,True
20.0,71044.0,Pune,16.0,Finance,True
,82214.0,Nagpur,,IT,False
19.0,48827.0,Nagpur,9.0,HR,False
41.0,70820.0,Pune,5.0,HR,False
47.0,77623.0,Mumbai,14.0,Finance,False
55.0,96734.0,Pune,10.0,Finance,True
19.0,90450.0,Nagpur,4.0,Sales,True
38.0,108426.0,Bangalore,0.0,HR,True
50.0,37299.0,Bangalore,7.0,Sales,False
29.0,58585.0,Delhi,11.0,Finance,False
39.0,79044.0,Pune,11.0,Finance,True
42.0,57557.0,Pune,4.0,IT,True
44.0,64080.0,Delhi,6.0,HR,False
59.0,17693.0,Delhi,3.0,Sales,False
45.0,,Delhi,5.0,Finance,True
33.0,110259.0,Nagpur,12.0,Finance,True
32.0,84163.0,Pune,19.0,Sales,False
20.0,40939.0,Nagpur,14.0,IT,True
54.0,63925.0,Delhi,2.0,Finance,True
24.0,57941.0,Pune,,HR,True
38.0,36834.0,Nagpur,19.0,Finance,False
,33047.0,Nagpur,15.0,HR,False
56.0,41105.0,Delhi,12.0,Sales,False
,90766.0,Pune,17.0,HR,False
21.0,30707.0,Delhi,9.0,Sales,False
42.0,36976.0,Pune,18.0,HR,False
,59262.0,Bangalore,,Sales,False
26.0,38776.0,Mumbai,18.0,HR,True
43.0,45080.0,Mumbai,4.0,IT,True
19.0,81842.0,Mumbai,8.0,HR,True
37.0,76373.0,Delhi,11.0,HR,True
45.0,21776.0,Bangalore,0.0,IT,True
24.0,107787.0,Pune,0.0,Finance,True
25.0,70016.0,Nagpur,,Finance,True
52.0,24474.0,Pune,1.0,HR,False
31.0,73053.0,Nagpur,15.0,IT,False
34.0,36959.0,Pune,7.0,HR,True
53.0,20530.0,Bangalore,,Sales,True
57.0,109856.0,Nagpur,0.0,Sales,False
21.0,18748.0,Delhi,15.0,HR,True
19.0,112504.0,Pune,6.0,Finance,True
23.0,113098.0,Pune,,Finance,False
59.0,28545.0,Nagpur,2.0,HR,True
21.0,81199.0,Delhi,11.0,HR,False
46.0,49766.0,Delhi,15.0,Sales,True
35.0,88530.0,Bangalore,18.0,Finance,False
43.0,108557.0,Delhi,4.0,HR,False
51.0,76087.0,Delhi,13.0,Sales,False
27.0,110839.0,Delhi,4.0,Finance,True
53.0,83840.0,Mumbai,14.0,IT,False
31.0,69384.0,Bangalore,,Sales,True
48.0,66005.0,Pune,13.0,Finance,True
32.0,61576.0,Nagpur,19.0,Finance,True
25.0,54353.0,Pune,4.0,Sales,True
31.0,77003.0,Bangalore,11.0,IT,False
40.0,98211.0,Nagpur,15.0,Sales,False
57.0,,Bangalore,15.0,Finance,True
38.0,80318.0,Delhi,,HR,True
33.0,104474.0,Nagpur,3.0,HR,False
35.0,38664.0,Delhi,0.0,Sales,True
41.0,82172.0,Pune,4.0,Finance,False
43.0,100616.0,Pune,9.0,HR,True
42.0,,Nagpur,4.0,Finance,True
,41736.0,Nagpur,,Sales,False
46.0,109209.0,Bangalore,1.0,HR,True
32.0,unknown,Bangalore,19.0,Finance,False
18.0,15854.0,Delhi,9.0,HR,True
42.0,105084.0,Nagpur,18.0,Sales,True
24.0,53623.0,Pune,,Finance,True
26.0,,Bangalore,4.0,HR,False
41.0,70680.0,Bangalore,12.0,Sales,True
18.0,61717.0,Pune,3.0,HR,True
25.0,,Bangalore,15.0,HR,True
41.0,65859.0,Delhi,15.0,IT,True
28.0,119095.0,Nagpur,1.0,IT,False
,41309.0,Pune,,Sales,False
25.0,102455.0,Nagpur,19.0,IT,True
52.0,78734.0,Bangalore,11.0,Sales,False
52.0,85467.0,Bangalore,17.0,IT,True
50.0,,Pune,2.0,HR,True
22.0,113506.0,Delhi,0.0,Sales,True
59.0,27688.0,Mumbai,0.0,Sales,False
56.0,,Pune,18.0,HR,False
58.0,52157.0,Mumbai,10.0,Sales,False
45.0,unknown,Mumbai,4.0,Sales,False
24.0,unknown,Delhi,11.0,IT,False
26.0,80733.0,Mumbai,2.0,Sales,False
,unknown,Mumbai,0.0,Finance,False
29.0,49698.0,Delhi,0.0,HR,False
51.0,95623.0,Mumbai,7.0,IT,False
50.0,37671.0,Mumbai,9.0,IT,True
40.0,40184.0,Mumbai,10.0,Finance,False
41.0,108384.0,Pune,11.0,HR,False
,57107.0,Pune,12.0,HR,False
52.0,101202.0,Pune,11.0,IT,False
,,Delhi,13.0,Sales,False
39.0,30708.0,Bangalore,1.0,IT,False
44.0,106906.0,Mumbai,18.0,HR,False
52.0,unknown,Mumbai,17.0,Finance,False
18.0,,Delhi,2.0,IT,False
52.0,71250.0,Mumbai,16.0,HR,False
,87082.0,Pune,7.0,IT,False
31.0,49754.0,Bangalore,9.0,Sales,True
20.0,110742.0,Nagpur,1.0,IT,True
18.0,,Mumbai,18.0,IT,False
22.0,17911.0,Pune,8.0,HR,False
