StudentID,Maths,Science,English,Attendance,StudyHours,Gender
1,100.0,48.15482579792929,69.77587221544434,82.38495376256279,7,Male
2,76.28743200529352,67.2472362046088,60.530413712665606,80.59241508427658,4,Male
3,62.94295808422537,78.64030155030102,70.85409699692032,85.38708094628643,6,Male
4,,69.74001950519799,78.33267502303576,79.49965238928327,3,Female
5,2.314259775079253,73.80631650972211,59.72740219079142,83.95267221784201,4,Male
6,,65.2274591124447,88.60136953448242,76.72036108374294,2,Female
7,80.22695786836321,82.67790268795686,80.97888538760341,83.48004490254097,6,Male
8,42.15115151226243,,69.93432831568671,88.5871223489269,2,Female
9,67.24144514264336,61.949147628747305,64.89128069588759,80.28989171034563,7,Female
10,77.53768016176804,79.5247263633977,65.30878918887358,,5,Female
11,85.24150655890858,49.73292100926202,,86.11474074897012,6,Female
12,60.178309395491304,74.51343346572548,69.70597397269648,88.62027913457068,4,Female
13,51.96681978843276,54.447696635047194,,83.93136126955828,5,Female
14,66.87117802129818,84.61304878009615,68.57024171697371,93.68693073494245,1,Male
15,56.49497190703733,64.60664570779166,77.05501810611491,68.19264910838466,4,Female
16,68.21155999924564,69.75480137065595,71.7107511582513,100.0,3,Male
17,69.92015854442515,73.36341515637359,74.6966935739707,78.03092988769987,1,Male
18,54.17025945757666,42.914100247915954,,88.22712018683262,1,Female
19,79.65326932133038,59.54239705976086,79.07715541249621,77.49225671835322,3,Male
20,68.11343327962659,81.56609682072519,79.22540080290077,90.15414527607442,6,Female
21,82.9655184280642,79.28094531422155,76.59929025822144,87.21255322075942,1,Male
22,47.861137116446876,71.6794186701378,78.07514327149505,79.79429170123929,7,Female
23,57.79369395345532,50.4569735714682,62.556312224569474,93.5846987632825,4,Male
24,76.20003170377747,75.61154499116152,75.2324576290898,,5,Female
25,60.41067315009682,77.2741946726708,,89.37772750445603,1,Female
26,68.02557210340365,68.61122377060869,76.91404567019498,77.66272155843171,4,Female
27,70.00838941068609,83.90122235768894,61.69282497198477,84.75289891542737,2,Female
28,71.8990717714404,59.1153867283084,71.50233490350915,100.0,4,Male
29,61.86920544719551,61.371851492500326,,92.70372423291303,5,Female
30,71.79143876166974,35.70004947188441,64.42600483101691,87.46096604360841,4,Male
31,60.60947553718624,79.95775763191962,58.41728803276647,81.40863337912164,3,Male
32,78.0913656249613,,68.83902131563472,85.53998828700007,5,Male
33,68.62187176620372,46.13633577326802,64.59167592032297,86.58052792137906,6,Female
34,71.86043948314622,45.138213000076085,71.85710968610032,88.59382747935797,2,Male
35,100.0,56.655801844176864,56.08595352503711,76.38671593457867,3,Male
36,56.71474654479974,78.31755324574459,77.64701062536156,90.34726368753893,6,Male
37,86.66298722848346,64.09531365484783,65.65394964706643,76.28325521364278,4,Female
38,38.087783715407525,57.53777008341578,81.95752236681356,98.04900681825498,5,Female
39,2.1926924426871777,54.920493389914554,69.23101160203622,78.82697342066497,2,Male
40,55.112319067749155,54.33814454823357,,87.3730265574094,3,Female
41,55.86965961670076,42.86218208560172,70.26965121303083,93.04114058622415,6,Female
42,72.44442157766619,,65.11840309899728,82.9809596522844,6,Male
43,73.47810717002162,54.08248496419682,96.7227946227266,,2,Male
44,66.94214477953163,76.87410207394291,67.04133821992716,96.48145239352041,7,Female
45,68.20146439885046,65.84560030909401,82.2352152246566,89.51522390314614,4,Male
46,,57.267397040773005,61.06371053936605,87.84440503739482,2,Female
47,,,75.72131391093161,71.5217168414363,6,Female
48,54.08153180668289,,76.78872163931835,77.53022197807822,1,Female
49,65.65730834520396,108.28998661511078,71.75823022901871,93.37536102120009,3,Female
50,69.16492212504387,89.07441125124029,66.28995280360427,89.55960244273106,2,Female
51,75.82379195872544,47.590515610454545,69.36678097386036,90.77173019028059,7,Female
52,60.72799429271835,68.96151853295639,67.9671049802688,90.08317545771918,6,Male
53,68.92934589287596,61.27206253819308,,,4,Male
54,,60.21398284472863,71.7739691055518,82.90880060035902,6,Female
55,61.54635875848564,75.21989861848981,77.2488877866395,85.96399967031441,4,Female
56,,59.902683546497315,89.81625090425368,76.77060533496733,2,Female
57,71.18494933164801,61.552402397755884,63.236813320258186,74.77581933250899,4,Male
58,68.43585824815351,101.94555181954337,72.37660233167938,71.85007427529554,5,Female
59,76.00573023304759,,69.30813868318612,77.91869200800122,5,Male
60,57.360895352260044,52.74358730884237,71.13861554516636,97.42049452391714,5,Female
61,65.79182166545455,78.34678456301717,70.20988032882515,72.5781834574717,7,Female
62,67.24940738135689,81.63090220059881,64.68122914369783,82.57171211538241,7,Male
63,,72.46704166395783,73.95410284996633,74.65483741083074,1,Male
64,58.715034705185175,63.10481553671055,61.37367222583899,80.19220829597312,7,Female
65,72.81582406186104,58.832260427712846,81.88882737309018,,2,Female
66,73.03306609045464,58.8529391819562,78.23309806654603,79.39907301435993,6,Female
67,89.75676691215968,98.64589274542521,67.06537183635984,93.71731892013169,6,Male
68,57.91492762832487,80.19189792036637,67.5501667862614,97.27182496679653,1,Male
69,62.11320018259008,57.0785689784166,74.75510562348254,67.00723417555248,7,Male
70,58.75173181332015,70.14107175668283,64.01454684393818,79.53606135719102,4,Male
71,49.9626499351792,63.28704467370829,90.11980124134871,85.47313697817938,1,Male
72,91.17624321115262,75.58940489003177,75.57925728691768,94.00893620812305,4,Male
73,55.10198522861053,75.06548833626144,75.93263151383678,81.3660457987739,4,Female
74,0.22193886085427217,82.08692550077112,78.81445080357285,84.84051683803352,3,Female
75,85.78919809938591,56.94276603739146,66.2053672592993,75.74604619958441,6,Male
76,48.96271543674142,69.3615588822957,82.89009981784774,72.73763318190123,5,Female
77,79.07621883144857,45.268889195552156,73.14533366215464,96.56307751666347,7,Female
78,53.043707855898674,51.654576094425025,81.50145470998832,,4,Male
79,84.96033683835505,79.49331087526933,,100.0,3,Female
80,,55.64111071173075,85.17278226731186,90.80121119505394,6,Male
81,48.95836700499205,57.068185625377886,76.0134362702479,90.43978460413405,5,Male
82,63.46093318049309,67.89238503084935,93.82507024177087,,4,Female
83,81.66187228207282,77.03189340100502,68.3047838317777,82.97851449599229,4,Male
84,69.62850099236113,54.209251654156745,74.04549396090745,88.13667623760695,1,Male
85,65.97141912536115,115.45516671870618,61.68423753129842,83.4888264977242,1,Male
86,86.1525304895766,56.68709785213435,66.7070176245378,89.42458621152383,6,Male
87,95.86287446119688,83.67316501338688,78.18686547847906,84.73050778473028,5,Male
88,78.06708741296526,72.46075566321936,83.293244375395,77.39721453518612,4,Male
89,62.5257459627846,85.21037244923377,100.0,78.03541906990596,6,Male
90,1.0925491717706515,53.286390152274954,71.0337109337678,77.12582099765997,6,Male
91,1.9839842354315822,46.68784852036727,62.66786592354402,92.76720585547447,2,Female
92,71.20980906704862,74.01313118441803,79.53325760377241,80.06042710032722,7,Female
93,50.44488416828408,71.1202955899056,60.72172779498694,69.70317471132111,1,Female
94,76.62236386371401,,77.64277388026736,88.17470932679045,5,Male
95,,80.12895635445739,66.97744283805876,97.11614050071665,4,Male
96,78.6110989575166,73.48190401085938,74.11594970380393,91.18466551342021,6,Female
97,64.37022735766078,73.27302871082492,82.91046102164667,,4,Female
98,76.32324895158149,77.29509117941483,70.89266570919304,72.30550627523928,2,Female
99,,74.53141621843136,81.32879084328621,83.92585517313992,5,Male
100,88.84593562313367,79.14679711232628,80.73158548619149,,6,Female
101,57.95490530123955,81.11077072212156,53.35668471690906,77.24640311748988,4,Female
102,76.12355667498788,87.91195441613189,62.98399253964428,89.4082984179403,1,Male
103,68.10278211915761,59.56051277625217,56.38193138604528,99.77301200664378,7,Female
104,79.67911897496424,74.24730739633972,92.01737102530136,86.77826173966628,2,Male
105,74.60336744580125,63.185796208235146,,86.28380965599077,5,Male
106,41.563343086186634,115.41705438626795,89.80829212966643,77.50217560932941,2,Male
107,,59.03597582595524,55.670477194580165,96.17931762448298,1,Female
108,72.3827003547555,74.43442172829982,66.27231575451474,,5,Female
109,52.78762039409385,73.437283212218,,80.36829395844663,2,Male
110,76.97226411839182,73.20535638009969,73.79274604426683,85.50950714921292,3,Female
111,51.711817099275635,65.06572258159866,77.32859892813458,88.77569066597287,1,Female
112,60.41873143099536,68.04439176531933,59.46191766206743,86.11372326915922,1,Female
113,86.09574303640161,78.63078504638865,85.76803492878929,94.64922716536474,1,Female
114,59.39466653362878,48.637890224559015,79.77016095757288,88.0717724203749,3,Male
115,76.8876035104201,68.32034727957159,76.01625505491474,82.72846551293972,3,Female
116,48.957115385095754,69.16942992564827,65.14389718918193,88.20953773061512,4,Male
117,94.9757758811817,77.79295549800943,75.23800127605945,88.99709680900766,6,Male
118,66.34535633815291,50.446770644743275,69.0851002100651,74.62899264588927,7,Female
119,71.14384968337264,87.43673869172635,55.49508789962238,94.19535782610971,2,Male
120,72.14844155858758,70.77719551757063,71.49577148278512,82.59276784510912,4,Female
121,77.2908023719763,71.46554710703417,70.43269601777475,82.79741421195656,2,Female
122,51.769840204165874,62.782063154681055,82.6240150987512,91.01100789660757,7,Male
123,69.93596234996004,74.99429061235897,,90.97732179407664,6,Male
124,62.09477409062372,68.62340265368037,74.35199828854701,79.39334656907131,3,Male
125,49.72531328706076,83.71676527338406,60.44431951894283,91.42321294516549,6,Male
126,81.84546640154453,49.260574775173,75.19223342195546,80.51641478808381,3,Female
127,65.77392419680491,70.2820957885766,75.74280055577306,99.55658437358925,7,Female
128,72.91024510735024,73.31066052890654,,78.37444814987388,6,Female
129,72.15814502473671,65.57715887327981,80.07293124811085,,4,Male
130,65.98177273148664,62.7393442970084,59.542339409003006,78.74385890473914,5,Male
131,93.70032824356937,63.2815553734068,83.07720450281701,100.0,4,Male
132,69.43282416845189,70.27031050178176,64.91921133805859,75.09743244730308,2,Female
133,51.304572187879984,,56.441013495101046,89.19490197802328,4,Male
134,65.19542367780018,80.54519449382198,69.2760402950019,,7,Female
135,75.99685144134533,61.75828571995394,51.048424773200146,82.1671388684161,1,Male
136,76.3911413124466,69.66143506576817,74.54173892246202,88.62830266996141,2,Female
137,56.94662877685886,72.77232946824488,69.40749557419774,94.79667550100915,6,Female
138,81.15379008813724,61.16452996493156,84.33686921376037,97.98717249839237,2,Male
139,48.84559685354752,102.11405754407244,78.48924210506996,72.70441631978943,5,Male
140,83.72962243139702,41.54187687186845,58.0800366281199,87.1420097949157,3,Female
141,54.167825330351135,77.51760689532993,63.61612508882115,96.67594882706817,6,Female
142,67.28505737189589,,77.20664420534209,71.51751248990448,2,Male
143,82.7748241363204,45.88708382479621,80.47079009985035,87.51506795243878,6,Male
144,71.43526802664483,,84.2250091488688,84.98332962063853,6,Female
145,,52.011698082869415,84.14509285305348,88.3163345150383,6,Male
146,77.42394351651919,65.68937582066373,71.10477389752094,78.8215677973882,3,Female
147,85.43522336085522,,75.6265562225117,73.51504937429247,7,Female
148,82.74651821096454,80.83501569033612,84.98738503943797,69.6951485985678,4,Male
149,64.5550682975627,82.58409146254903,68.96691538064051,92.81107162769682,6,Male
150,77.59529960552157,,75.79726186940124,93.83239309186683,1,Male
