AgeGroup,Income
Senior,31623.775664880246
Adult,53955.11648959911
Young,47049.982780959566
Adult,60122.488872946065
Young,48519.145238961566
Adult,30803.8200800145
Senior,38737.17822980214
Young,51777.769796195156
Young,53523.98995486351
Adult,55261.30358585626
Senior,32417.710641537684
Adult,30587.6380070769
Young,42722.369763030954
Adult,62280.88219840145
Young,36673.58015030378
Adult,50459.662687211676
Senior,50460.73366726758
Adult,54129.27299604736
Senior,64973.28304737852
Young,63742.87709719327
Adult,37864.72999392594
Senior,19825.254704295912
Young,36857.647975623084
Senior,45908.067528566826
Young,40660.25666777211
Adult,68614.78731513763
Senior,45225.363651797394
Adult,52844.54256307433
Young,47606.57171576812
Adult,40840.401798110135
Adult,21902.259864448002
Senior,44056.58833750217
Adult,84055.76751784951
Young,30066.499201945997
Adult,23221.523467509305
Adult,68236.67163082692
Adult,53904.99563843202
Adult,47249.03856628124
Senior,61352.08634840469
Adult,35021.97668452684
Adult,43720.862869024175
Young,56461.84940280988
Young,70324.25241384475
Young,30977.468224120697
Young,60368.81350272473
Adult,49582.06873009181
Adult,46956.73280915299
Adult,44907.249332943145
Senior,28384.24055166476
Senior,56557.067978556384
Senior,35612.77175608407
Adult,32043.711569971834
Adult,55625.50750680405
Adult,54469.60830176014
Young,45948.00100333275
Young,57954.523449739696
Senior,62111.23897774938
Senior,60698.68893390649
Young,38660.65231917624
Adult,57169.25917535654
Senior,47539.69173010378
Young,65710.8932442285
Young,43515.25996479392
Senior,40722.34035158003
Adult,37634.43747788548
Young,47271.45473082666
Adult,50600.705611105244
Senior,50831.54739512725
Adult,49190.07048374228
Young,53052.444152157674
Young,42329.49796902722
Adult,34529.81621289754
Adult,33482.06403703622
Adult,56700.61314364162
Young,50643.86772633948
Senior,22729.94674859611
Young,58161.041121599286
Young,67565.22175683186
Young,36408.99779089761
Young,49033.92055531249
Adult,39318.50287641169
Adult,52539.683105654
Young,31007.8933310973
Adult,44142.652114814635
Young,56775.769535985375
Adult,59828.540871586076
Senior,50117.94982703627
Young,40931.45636148313
Adult,25888.786987876698
Young,35909.40346512862
Young,39368.71914294263
Young,36627.19460038063
Adult,45714.63561976339
Adult,40897.34716594458
Young,47065.45646802532
Senior,59431.52761257196
Adult,40122.45334524766
Senior,28405.596272949304
Adult,36579.5088225015
Adult,52003.06163967926
Young,53135.325419432076
Young,49873.02236419481
Senior,60608.84767065619
Young,42763.643161476175
Senior,69625.99377611189
Adult,54818.24563327088
Young,15000.0
Young,66607.9035595628
Young,35796.160678371336
Senior,32590.78572651683
Adult,51285.25331799473
Young,24141.834331961476
Young,36654.36922414064
Young,63685.182487490485
Adult,51674.61094797003
Young,54746.87737127064
Senior,37117.07279403031
Young,26539.56001238276
Young,53481.80915176481
Adult,56163.073874903406
Adult,55619.92063297331
Senior,47508.830761414385
Adult,33395.181078335154
Young,74253.23505671676
Adult,50757.44931581011
Young,42913.360300929984
Young,42966.60915019959
Senior,46795.16973688264
Adult,57835.29914589577
Senior,47275.53747966543
Adult,55302.15784136997
Adult,46816.77225471849
Young,43651.75330235543
Young,52695.00471994067
Senior,52239.43240408556
Young,42964.39057085814
Senior,36009.51650742889
Adult,49100.74697688522
Young,45940.18402755113
Adult,38341.53944675091
