UserID,Age,EstimatedSalary,Purchased
15600000,47,107837,0
15600001,38,133070,0
15600002,26,94872,0
15600003,34,102736,0
15600004,22,20470,0
15600005,48,107969,1
15600006,57,106493,0
15600007,55,21523,0
15600008,36,46169,0
15600009,53,60641,0
15600010,50,44661,0
15600011,30,29457,0
15600012,31,82600,0
15600013,50,118619,0
15600014,46,91102,0
15600015,53,48085,1
15600016,27,112064,0
15600017,48,120723,0
15600018,23,148114,0
15600019,18,85134,0
15600020,24,57982,0
15600021,44,80185,0
15600022,38,48477,0
15600023,45,129161,0
15600024,33,67709,0
15600025,40,93137,1
15600026,37,51018,0
15600027,55,50371,0
15600028,42,98021,0
15600029,45,22857,0
15600030,22,23177,0
15600031,38,103578,0
15600032,35,104941,1
15600033,23,26826,0
15600034,46,97428,0
15600035,36,141044,0
15600036,50,90020,0
15600037,18,20495,0
15600038,20,43481,0
15600039,59,132897,0
15600040,38,118475,0
15600041,52,72042,0
15600042,58,64476,1
15600043,57,43552,0
15600044,20,84093,0
15600045,42,84123,0
15600046,55,31535,0
15600047,37,81490,0
15600048,51,61562,0
15600049,38,134042,0
15600050,40,104080,1
15600051,23,56269,0
15600052,30,95674,0
15600053,40,57462,0
15600054,26,149199,0
15600055,34,38147,0
15600056,19,92095,0
15600057,36,105925,0
15600058,36,81381,0
15600059,24,114468,0
15600060,59,78749,1
15600061,59,28731,0
15600062,37,139647,0
15600063,26,66024,0
15600064,34,131712,1
15600065,44,116121,0
15600066,19,18832,0
15600067,53,47332,0
15600068,36,27467,0
15600069,34,56025,0
15600070,22,92994,0
15600071,56,109202,0
15600072,35,58481,0
15600073,24,148653,0
15600074,34,90118,0
15600075,56,139010,1
15600076,53,138714,0
15600077,57,99363,0
15600078,21,138607,1
15600079,55,78044,1
15600080,42,26814,0
15600081,22,114340,0
15600082,47,25024,0
15600083,29,124236,0
15600084,21,72836,0
15600085,41,22435,0
15600086,46,85601,1
15600087,26,135871,0
15600088,21,149479,0
15600089,41,113943,0
15600090,31,47940,0
15600091,22,20666,0
15600092,35,52122,0
15600093,59,133647,1
15600094,36,144753,1
15600095,29,138402,0
15600096,35,116190,0
15600097,34,115468,0
15600098,47,144207,0
15600099,41,41505,0
15600100,28,51713,0
15600101,52,58169,1
15600102,40,92511,0
15600103,34,55522,0
15600104,18,114397,0
15600105,32,18880,0
15600106,49,58539,0
15600107,26,29799,0
15600108,32,119843,1
15600109,45,63784,0
15600110,41,128034,0
15600111,52,69362,0
15600112,39,68997,0
15600113,44,117399,0
15600114,36,29549,0
15600115,29,71920,1
15600116,37,108860,0
15600117,18,39624,0
15600118,38,61705,0
15600119,18,104326,0
15600120,27,75390,0
15600121,49,83369,0
15600122,56,24589,0
15600123,39,128012,0
15600124,35,88181,0
15600125,49,138711,0
15600126,44,91425,0
15600127,45,30994,0
15600128,35,126915,1
15600129,56,137961,0
15600130,46,119672,1
15600131,35,41639,0
15600132,25,32205,0
15600133,48,71677,0
15600134,51,47930,0
15600135,24,88313,0
15600136,53,128153,1
15600137,35,33316,0
15600138,55,111058,0
15600139,26,102876,0
15600140,26,100366,0
15600141,25,28403,0
15600142,52,95052,0
15600143,35,88495,0
15600144,22,111090,0
15600145,31,51701,0
15600146,45,149457,0
15600147,47,72241,1
15600148,21,80030,0
15600149,56,120185,0
15600150,37,51404,0
15600151,42,70182,0
15600152,45,47991,0
15600153,29,119601,0
15600154,19,80886,0
15600155,31,137002,0
15600156,39,98848,0
15600157,48,72692,0
15600158,40,52500,0
15600159,37,48785,0
