survived,pclass,sex,age,fare
0,3,female,0.5,28.866004017905784
0,3,male,47.27892354469107,20.089531178076566
0,2,male,25.37687622681322,24.90196660472255
1,1,female,29.61969186022752,39.11922075789981
1,1,female,22.966123078060416,111.45458667122939
0,2,female,6.014683644318769,56.626804290111195
1,1,male,19.038151559852636,116.00623029211702
0,3,female,59.36374095829279,9.664462481341033
0,3,male,14.655363052451678,11.733992516588444
1,1,female,7.760406935842298,62.3561279063045
1,3,female,31.97807438369944,16.3467154998984
0,2,male,28.79912878758757,43.799624487817006
0,1,male,25.473382928860932,53.34575636398935
0,3,female,30.202271206931584,14.530748819371917
1,3,female,39.0188365497462,29.767813965577627
1,3,female,21.779709603005603,11.190427179367964
0,3,female,32.72174291595663,17.66140942591285
0,3,female,44.33424526982006,26.110058579763304
1,3,male,16.06595866543287,10.98058034164645
0,2,male,0.5,57.19979533553057
0,3,male,39.39131888934283,20.377282184249708
0,3,male,65.04147605844162,17.029703786877562
0,3,female,29.897034848916583,16.487556664257937
0,1,male,32.82705081492339,61.563100289134084
0,3,male,25.858681936684132,19.666158194373125
0,3,male,52.23285178114362,20.60931744809026
0,1,female,,60.11846475792849
0,3,male,27.388101759790906,6.759202697650733
1,1,female,42.752093399768846,112.06520893959676
0,1,male,,90.2208291066766
0,3,female,12.014288184938039,18.52465588820209
0,2,male,42.352205313639715,25.627182611836112
1,1,female,21.71833909258996,99.57197489211278
0,3,male,16.34355961253582,26.36851546479947
0,3,female,59.40067422002461,28.239577364939223
1,1,female,,137.38430408466238
0,3,male,36.91916515216266,15.921500913928165
0,3,female,30.41339537410887,14.809552523318033
1,3,female,,15.130378082481966
1,3,male,39.65207068030691,8.138104530696896
0,3,male,34.40410577301414,25.340393149517983
0,2,female,20.768682357040944,52.03018113865959
0,2,male,36.06466472998874,33.64396611052725
0,3,male,22.79965868217997,21.54695970111728
0,3,male,14.537064958480578,10.18673595147193
1,1,female,,45.429549421400296
0,3,female,33.7808206934817,25.963730175619826
1,3,female,24.64176698100178,16.777093237098132
0,1,female,51.02385626661546,66.1670154919631
1,1,female,29.398586413268603,105.11806967015443
1,2,female,,14.613450228138138
1,3,female,32.20944694101477,8.293594990799104
0,1,male,11.880257497955512,90.53096952761243
1,2,female,28.822162632654166,44.052505586522265
1,3,female,34.468334870695855,10.711789397925592
0,3,male,32.73941230689427,26.660685072468905
0,2,male,48.23919902727662,30.305499025127894
0,2,male,66.36523976182231,15.633676331739501
1,3,female,39.39956319877799,7.959055696282451
1,3,male,46.50314858899728,21.143979448450814
0,3,female,65.60847723520135,11.252061722848545
1,3,female,15.912838130569337,25.913809779240346
1,2,female,31.82878372285012,51.893663505968135
0,2,male,23.30804855078678,54.13908498132484
0,1,male,41.79720794365501,133.67457864114127
0,1,female,33.80266487267269,65.86358265442412
0,3,female,18.541947521344927,21.53619541532753
0,2,female,,37.85034031565643
0,2,male,44.65691835518239,54.69863342122146
1,3,female,11.74785516564907,12.247016988346491
0,1,male,18.837176221054293,52.561886063554674
0,1,female,16.738148809414678,108.37640799502265
0,1,male,34.569551776816745,47.81798196063413
1,3,female,47.36722511460944,14.366230475370719
0,3,male,1.8637174857158385,9.573383032105312
0,2,male,31.321579888700168,15.99440157419227
0,3,male,17.06090995814742,29.611048839584207
0,3,male,44.07563884761978,12.443853841806108
0,3,male,26.682444142002446,19.992610335202507
0,3,male,31.82943514708357,24.412172032891668
1,3,female,29.981282067171158,23.728945579413292
0,3,female,45.73906324465783,13.219357187314769
1,1,female,58.68084143116896,128.10783954535162
1,1,female,14.114685381659825,131.15399917669285
0,1,male,16.66421434807487,92.45473105672596
1,3,female,34.500970635765896,15.89335892108269
0,3,male,18.57036712377314,10.606835456047632
1,3,male,43.07017278560384,14.715807259970974
1,1,male,45.317644427180724,139.41859123640913
0,3,female,22.34793162854959,23.666774119665924
0,3,male,19.31047826701935,7.345546809886079
1,3,female,26.153093696861934,17.814597578312764
0,3,female,31.456254995482258,19.104869794968632
0,3,female,34.40772065853268,17.35394008879511
0,3,female,0.5,23.296831326568004
1,3,female,16.45562273609834,14.594781397671184
1,3,male,24.342609115811825,28.624176591001902
0,1,male,18.842149355543583,130.02889315748843
0,1,female,0.5,53.41305840290521
1,3,male,3.56278548503429,25.638270583668735
0,1,female,11.724980641818863,85.03798776972911
1,3,male,28.386021188054936,6.880050719070061
0,2,male,23.893169291261664,59.31640867800631
0,3,male,21.15803284459996,17.075296388709468
0,2,male,41.15120945109977,56.71348957319385
