sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,setosa
4.8,3.0,1.4,0.1,setosa
5.0,3.4,1.5,0.2,setosa
5.2,3.5,1.5,0.2,setosa
4.9,3.1,1.5,0.1,setosa
5.4,3.7,1.5,0.2,setosa
5.8,2.7,4.1,1.0,versicolor
6.0,2.9,4.5,1.5,versicolor
5.6,2.5,3.9,1.1,versicolor
6.1,2.8,4.7,1.2,versicolor
5.7,2.6,3.5,1.0,versicolor
6.3,3.3,6.0,2.5,virginica
6.5,3.0,5.8,2.2,virginica
6.7,3.1,5.6,2.4,virginica
7.2,3.6,6.1,2.5,virginica
6.9,3.2,5.7,2.3,virginica
7.5,3.8,6.5,2.8,virginica
4.5,2.3,1.3,0.3,setosa
5.9,3.0,5.1,1.8,virginica
6.2,2.2,4.5,1.5,versicolor
