CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.006,18,2.31,0,0.538,6.5,65,4.0,1,296,15.3,396,4.9,24
0.02,0,7.07,0,0.469,6.4,78,4.9,2,242,17.8,396,9.1,21
0.03,0,7.07,0,0.469,7.1,61,4.9,2,242,17.8,392,4.0,34
0.04,0,2.18,0,0.458,6.9,45,6.0,3,222,18.7,394,5.5,33
0.05,12,2.18,0,0.458,7.2,54,6.2,3,222,18.7,396,3.0,36
0.06,25,5.13,0,0.453,6.8,58,6.5,4,250,17.0,395,6.2,28
0.07,0,5.13,0,0.453,6.3,70,6.7,4,250,17.0,390,8.0,22
0.08,0,4.86,0,0.448,6.5,65,6.9,5,280,18.0,392,7.5,25
0.09,0,4.86,0,0.448,6.1,80,7.1,5,280,18.0,388,10.0,20
0.1,0,3.33,0,0.442,6.7,50,7.3,6,300,16.5,396,5.0,30
